Duration,Start station number,Start station,End station number,End station,Bike Number,Member Type
950,31293,31st & Water St NW,31080,Lee Hwy & N Scott St,W23491,Member
310,31401,14th St & Spring Rd NW,31124,14th & Irving St NW,W23478,Member
243,31615,6th & H St NE,31623,Columbus Circle / Union Station,W20202,Member
518,31615,6th & H St NE,31622,13th & D St NE,W21223,Member
500,31615,6th & H St NE,31622,13th & D St NE,W00509,Member
93,31081,Duke St & John Carlyle St,31048,King St Metro South,W00920,Member
307,31616,3rd & H St NE,31614,11th & H St NE,W21595,Member
3289,31205,21st & I St NW,31249,Jefferson Memorial,W22741,Member
339,31114,18th St & Wyoming Ave NW,31202,14th & R St NW,W01129,Member
440,31509,New Jersey Ave & R St NW,31280,11th & S St NW,W23024,Member
950,31643,1st & D St SE,31265,5th St & Massachusetts Ave NW,W22905,Member
3097,31205,21st & I St NW,31249,Jefferson Memorial,W00068,Casual
71,31098,King St Metro North / Cameron St,31048,King St Metro South,W00873,Member
175,31037,Ballston Metro / N Stuart & 9th St N,31919,Carlin Springs Rd & N Thomas St,W21139,Member
1785,31623,Columbus Circle / Union Station,31803,Good Hope Rd & 14th St SE,W21047,Casual
706,31202,14th & R St NW,31212,21st & M St NW,W21030,Member
2522,31640,Maryland Ave & E St NE,31641,2nd St & Massachusetts Ave NE,W21850,Casual
613,31126,11th & Girard St NW,31506,1st & Rhode Island Ave NW,W01035,Member
713,31286,11th & O St NW,31251,12th & L St NW,W20605,Casual
750,31228,8th & H St NW,31203,14th & Rhode Island Ave NW,W00376,Member
2490,31640,Maryland Ave & E St NE,31641,2nd St & Massachusetts Ave NE,W20904,Casual
703,31228,8th & H St NW,31203,14th & Rhode Island Ave NW,W23035,Casual
1712,31608,8th & Eye St SE / Barracks Row,31608,8th & Eye St SE / Barracks Row,W01351,Casual
1694,31608,8th & Eye St SE / Barracks Row,31608,8th & Eye St SE / Barracks Row,W20510,Casual
534,31098,King St Metro North / Cameron St,31085,Mount Vernon Ave & E Nelson Ave,W21768,Member
2381,31640,Maryland Ave & E St NE,31641,2nd St & Massachusetts Ave NE,W23135,Casual
446,31214,17th & Corcoran St NW,31286,11th & O St NW,W23326,Member
102,31283,14th & L St NW,31251,12th & L St NW,W21003,Member
6792,31280,11th & S St NW,31506,1st & Rhode Island Ave NW,W22054,Member
240,31100,19th St & Pennsylvania Ave NW,31233,17th & K St NW / Farragut Square,W20159,Member
343,31111,10th & U St NW,31116,California St & Florida Ave NW,W23489,Member
1081,31251,12th & L St NW,31514,Hamlin & 7th St NE,W20492,Member
350,31203,14th & Rhode Island Ave NW,31600,5th & K St NW,W22304,Member
345,31605,3rd & D St SE,31647,7th St & Massachusetts Ave NE,W23445,Member
739,31216,14th St & New York Ave NW,31281,8th & O St NW,W22973,Member
771,31104,Adams Mill & Columbia Rd NW,31401,14th St & Spring Rd NW,W01334,Member
442,31067,Columbia Pike & S Walter Reed Dr,31060,S Arlington Mill Dr & Campbell Ave,W22880,Casual
1731,31609,Maine Ave & 7th St SW,31645,6th & K St NE,W01288,Member
270,31281,8th & O St NW,31228,8th & H St NW,W00941,Member
652,31237,25th St & Pennsylvania Ave NW,31298,15th & M St NW,W00390,Member
640,31237,25th St & Pennsylvania Ave NW,31298,15th & M St NW,W00628,Member
404,31202,14th & R St NW,31116,California St & Florida Ave NW,W22348,Member
1219,31113,Columbia Rd & Belmont St NW,31295,Potomac & M St NW,W21333,Casual
377,31202,14th & R St NW,31116,California St & Florida Ave NW,W22709,Member
499,31024,Virginia Square Metro / N Monroe St & 9th St N,31022,Clarendon Metro / Wilson Blvd & N Highland St,W01483,Casual
369,31111,10th & U St NW,31126,11th & Girard St NW,W21298,Member
1637,31317,Wisconsin Ave & Ingomar St NW,31306,39th & Calvert St NW / Stoddert,W00400,Casual
449,31500,4th & W St NE,31519,1st & O St NW,W20645,Member
404,31648,Potomac Ave & Half St SW,31609,Maine Ave & 7th St SW,W00258,Member
175,31229,New Hampshire Ave & T St NW,31114,18th St & Wyoming Ave NW,W01145,Member
325,31114,18th St & Wyoming Ave NW,31101,14th & V St NW,W21612,Member
549,31114,18th St & Wyoming Ave NW,31246,M St & Pennsylvania Ave NW,W00383,Casual
227,31102,11th & Kenyon St NW,31126,11th & Girard St NW,W21466,Member
1656,31114,18th St & Wyoming Ave NW,31294,7th & E St SW,W21710,Member
2846,31223,Convention Center / 7th & M St NW,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W00710,Casual
348,31126,11th & Girard St NW,31602,Park Rd & Holmead Pl NW,W21298,Member
277,32064,Amherst Ave & Prichard Rd,32022,Dennis & Amherst Ave,W20111,Member
260,31506,1st & Rhode Island Ave NW,31505,Eckington Pl & Q St NE,W23465,Member
301,31124,14th & Irving St NW,31406,14th & Upshur St NW,W00874,Member
723,31401,14th St & Spring Rd NW,31268,12th & U St NW,W21046,Member
554,31110,20th St & Florida Ave NW,31203,14th & Rhode Island Ave NW,W20903,Member
1310,31294,7th & E St SW,31275,New Hampshire Ave & 24th St NW,W00853,Casual
351,31229,New Hampshire Ave & T St NW,31276,15th & L St NW,W21314,Member
611,31233,17th & K St NW / Farragut Square,31200,Massachusetts Ave & Dupont Circle NW,W22701,Member
787,31262,11th & F St NW,31125,15th & W St NW,W20869,Member
489,31114,18th St & Wyoming Ave NW,31126,11th & Girard St NW,W21481,Member
958,31280,11th & S St NW,31522,2nd St & Seaton Pl NE,W23024,Member
572,31200,Massachusetts Ave & Dupont Circle NW,31114,18th St & Wyoming Ave NW,W00434,Casual
223,31267,17th St & Massachusetts Ave NW,31203,14th & Rhode Island Ave NW,W22086,Member
776,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W01400,Casual
925,31109,7th & T St NW,31615,6th & H St NE,W22077,Member
362,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00295,Casual
1222,31641,2nd St & Massachusetts Ave NE,31522,2nd St & Seaton Pl NE,W00793,Member
373,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W00594,Casual
906,31641,2nd St & Massachusetts Ave NE,31265,5th St & Massachusetts Ave NW,W23105,Member
540,31023,Fairfax Dr & Wilson Blvd,31038,Glebe Rd & 11th St N,W21962,Member
525,31200,Massachusetts Ave & Dupont Circle NW,31251,12th & L St NW,W00102,Member
137,31244,4th & E St SW,31218,L'Enfant Plaza / 7th & C St SW,W22225,Member
413,31401,14th St & Spring Rd NW,31102,11th & Kenyon St NW,W22567,Member
554,31602,Park Rd & Holmead Pl NW,31126,11th & Girard St NW,W21298,Member
265,31111,10th & U St NW,31119,14th & Belmont St NW,W21089,Member
333,31127,22nd & H St NW,31255,24th & N St NW,W20239,Member
865,31285,22nd & P ST NW,31201,15th & P St NW,W22305,Member
745,31106,Calvert & Biltmore St NW,31236,37th & O St NW / Georgetown University,W21574,Casual
588,31317,Wisconsin Ave & Ingomar St NW,31318,Connecticut Ave & Yuma St NW,W21113,Member
564,31600,5th & K St NW,31200,Massachusetts Ave & Dupont Circle NW,W22304,Member
479,31214,17th & Corcoran St NW,31111,10th & U St NW,W00199,Member
216,31203,14th & Rhode Island Ave NW,31283,14th & L St NW,W00376,Member
1876,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31102,11th & Kenyon St NW,W22646,Casual
380,31239,Rhode Island & Connecticut Ave NW,31266,11th & M St NW,W20728,Member
368,31239,Rhode Island & Connecticut Ave NW,31266,11th & M St NW,W23439,Member
218,31202,14th & R St NW,31268,12th & U St NW,W01129,Member
878,31110,20th St & Florida Ave NW,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,W21110,Member
512,31114,18th St & Wyoming Ave NW,31202,14th & R St NW,W00858,Member
232,31276,15th & L St NW,31251,12th & L St NW,W21314,Member
261,31271,Constitution Ave & 2nd St NW/DOL,31244,4th & E St SW,W21798,Member
391,31119,14th & Belmont St NW,31102,11th & Kenyon St NW,W22056,Member
523,31124,14th & Irving St NW,31109,7th & T St NW,W20109,Member
549,31116,California St & Florida Ave NW,31109,7th & T St NW,W23489,Member
572,31203,14th & Rhode Island Ave NW,31223,Convention Center / 7th & M St NW,W20903,Member
590,31229,New Hampshire Ave & T St NW,31201,15th & P St NW,W21133,Member
439,31104,Adams Mill & Columbia Rd NW,31107,Lamont & Mt Pleasant NW,W21698,Member
907,31905,Kennebec St & 11th St N,31035,N Quincy St & Glebe Rd,W00840,Member
409,31104,Adams Mill & Columbia Rd NW,31107,Lamont & Mt Pleasant NW,W01214,Member
776,31614,11th & H St NE,31506,1st & Rhode Island Ave NW,W22448,Member
495,31251,12th & L St NW,31109,7th & T St NW,W21003,Member
631,31120,10th & Florida Ave NW,31107,Lamont & Mt Pleasant NW,W00402,Member
931,31203,14th & Rhode Island Ave NW,31213,17th & K St NW,W01030,Casual
781,31283,14th & L St NW,31244,4th & E St SW,W00376,Casual
352,31200,Massachusetts Ave & Dupont Circle NW,31113,Columbia Rd & Belmont St NW,W21334,Member
1834,31646,Maine Ave & 9th St SW,31103,16th & Harvard St NW,W21351,Member
214,31229,New Hampshire Ave & T St NW,31110,20th St & Florida Ave NW,W23460,Casual
954,31646,Maine Ave & 9th St SW,31269,3rd St & Pennsylvania Ave SE,W01357,Member
353,31400,Georgia & New Hampshire Ave NW,31602,Park Rd & Holmead Pl NW,W20444,Member
2511,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31267,17th St & Massachusetts Ave NW,W01049,Member
671,31203,14th & Rhode Island Ave NW,31213,17th & K St NW,W23035,Casual
440,31214,17th & Corcoran St NW,31251,12th & L St NW,W21812,Member
2465,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31267,17th St & Massachusetts Ave NW,W22782,Casual
409,31276,15th & L St NW,31221,18th & M St NW,W21360,Casual
2440,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31267,17th St & Massachusetts Ave NW,W20392,Member
313,31633,Independence Ave & L'Enfant Plaza SW/DOE,31646,Maine Ave & 9th St SW,W23048,Member
230,31281,8th & O St NW,31266,11th & M St NW,W20058,Member
2609,31200,Massachusetts Ave & Dupont Circle NW,31611,13th & H St NE,W22701,Member
382,31205,21st & I St NW,31128,23rd & M St NW,W22545,Casual
1020,31015,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31053,Columbia Pike & S Courthouse Rd,W21110,Member
4398,31026,Washington Blvd & 10th St N,31272,Washington & Independence Ave SW/HHS,W21306,Casual
463,31200,Massachusetts Ave & Dupont Circle NW,31101,14th & V St NW,W01234,Casual
972,31107,Lamont & Mt Pleasant NW,31107,Lamont & Mt Pleasant NW,W21829,Member
1962,31807,Pleasant St & MLK Ave SE,31817,1st & S Capitol St SE / Oxon Run Trail,W22143,Casual
1919,31807,Pleasant St & MLK Ave SE,31817,1st & S Capitol St SE / Oxon Run Trail,W23243,Casual
1710,31917,N Lynn St & Fairfax Dr,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,W21092,Member
210,31104,Adams Mill & Columbia Rd NW,31121,Calvert St & Woodley Pl NW,W22883,Member
968,31228,8th & H St NW,31400,Georgia & New Hampshire Ave NW,W21823,Casual
539,31307,3000 Connecticut Ave NW / National Zoo,31313,Connecticut Ave & Tilden St NW,W22863,Member
490,31307,3000 Connecticut Ave NW / National Zoo,31313,Connecticut Ave & Tilden St NW,W01454,Member
713,31265,5th St & Massachusetts Ave NW,31298,15th & M St NW,W21341,Member
520,31401,14th St & Spring Rd NW,31103,16th & Harvard St NW,W01301,Member
514,31401,14th St & Spring Rd NW,31103,16th & Harvard St NW,W01334,Member
1229,31291,Vermont Ave & I St NW,31257,22nd & I St NW / Foggy Bottom,W20350,Member
1229,31291,Vermont Ave & I St NW,31257,22nd & I St NW / Foggy Bottom,W21649,Member
1256,31200,Massachusetts Ave & Dupont Circle NW,31641,2nd St & Massachusetts Ave NE,W22304,Member
752,31215,Georgetown Harbor / 30th St NW,31203,14th & Rhode Island Ave NW,W21412,Member
3107,31208,M St & New Jersey Ave SE,31223,Convention Center / 7th & M St NW,W20613,Member
3066,31208,M St & New Jersey Ave SE,31223,Convention Center / 7th & M St NW,W00889,Member
2502,31258,Lincoln Memorial,31235,19th St & Constitution Ave NW,W00349,Casual
3030,31208,M St & New Jersey Ave SE,31223,Convention Center / 7th & M St NW,W21729,Casual
2373,31258,Lincoln Memorial,31235,19th St & Constitution Ave NW,W22581,Casual
2322,31258,Lincoln Memorial,31235,19th St & Constitution Ave NW,W00341,Casual
401,31268,12th & U St NW,31286,11th & O St NW,W23459,Member
215,31647,7th St & Massachusetts Ave NE,31615,6th & H St NE,W22842,Member
302,31042,Market Square / King St & Royal St,31044,King St & Patrick St,W21585,Member
744,31200,Massachusetts Ave & Dupont Circle NW,31111,10th & U St NW,W23150,Member
807,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31612,D St & Maryland Ave NE,W22592,Member
768,31613,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31612,D St & Maryland Ave NE,W20511,Member
7556,31619,Lincoln Park / 13th & East Capitol St NE ,31619,Lincoln Park / 13th & East Capitol St NE ,W23038,Casual
222,31278,18th & R St NW,31114,18th St & Wyoming Ave NW,W21948,Member
644,31023,Fairfax Dr & Wilson Blvd,31037,Ballston Metro / N Stuart & 9th St N,W20251,Casual
282,31202,14th & R St NW,31251,12th & L St NW,W21290,Member
837,31111,10th & U St NW,31291,Vermont Ave & I St NW,W00199,Member
551,31102,11th & Kenyon St NW,31406,14th & Upshur St NW,W22567,Member
334,31201,15th & P St NW,31110,20th St & Florida Ave NW,W00387,Member
7401,31619,Lincoln Park / 13th & East Capitol St NE ,31619,Lincoln Park / 13th & East Capitol St NE ,W20733,Casual
7383,31619,Lincoln Park / 13th & East Capitol St NE ,31619,Lincoln Park / 13th & East Capitol St NE ,W22576,Casual
447,31626,15th St & Massachusetts Ave SE,31611,13th & H St NE,W20185,Casual
5402,31288,4th St & Madison Dr NW,31290,17th St & Independence Ave SW,W23187,Member
5397,31288,4th St & Madison Dr NW,31290,17th St & Independence Ave SW,W00734,Casual
452,31102,11th & Kenyon St NW,31406,14th & Upshur St NW,W01451,Casual
1087,31268,12th & U St NW,31643,1st & D St SE,W21502,Member
239,31506,1st & Rhode Island Ave NW,31109,7th & T St NW,W22448,Member
316,31093,21st St N & N Pierce St,31014,Lynn & 19th St North,W21618,Casual
306,31093,21st St N & N Pierce St,31014,Lynn & 19th St North,W21859,Casual
744,31609,Maine Ave & 7th St SW,31634,3rd & Tingey St SE,W23458,Member
609,31114,18th St & Wyoming Ave NW,31266,11th & M St NW,W21948,Member
973,31624,North Capitol St & F St NW,31512,Neal St & Trinidad Ave NE,W20230,Casual
382,31274,10th & G St NW,31242,18th St & Pennsylvania Ave NW,W20730,Member
2063,31634,3rd & Tingey St SE,31114,18th St & Wyoming Ave NW,W22266,Casual
528,31226,34th St & Wisconsin Ave NW,31225,C & O Canal & Wisconsin Ave NW,W20778,Member
297,31119,14th & Belmont St NW,31103,16th & Harvard St NW,W21089,Member
489,31111,10th & U St NW,31600,5th & K St NW,W23285,Member
114,31101,14th & V St NW,31119,14th & Belmont St NW,W23303,Member
332,31226,34th St & Wisconsin Ave NW,31225,C & O Canal & Wisconsin Ave NW,W22995,Casual
933,31035,N Quincy St & Glebe Rd,31905,Kennebec St & 11th St N,W20416,Member
1070,31200,Massachusetts Ave & Dupont Circle NW,31400,Georgia & New Hampshire Ave NW,W20980,Member
433,31267,17th St & Massachusetts Ave NW,31600,5th & K St NW,W00672,Member
366,31019,Wilson Blvd & N Edgewood St,31018,N Rhodes & 16th St N,W21156,Casual
111,31018,N Rhodes & 16th St N,31051,Arlington Blvd & N Queen St,W20652,Member
155,31089,Court House Metro / 15th & N Uhle St ,31016,Clarendon Blvd & Pierce St,W21602,Member
1124,31114,18th St & Wyoming Ave NW,31523,Lincoln Rd & Seaton Pl NE/Harry Thomas Rec Center,W01145,Member
507,31104,Adams Mill & Columbia Rd NW,31602,Park Rd & Holmead Pl NW,W01350,Member
780,31104,Adams Mill & Columbia Rd NW,31406,14th & Upshur St NW,W20055,Casual
291,31298,15th & M St NW,31282,16th & R St NW,W21341,Member
944,31111,10th & U St NW,31106,Calvert & Biltmore St NW,W20074,Member
384,31229,New Hampshire Ave & T St NW,31221,18th & M St NW,W22453,Member
541,31281,8th & O St NW,31506,1st & Rhode Island Ave NW,W20466,Member
290,31400,Georgia & New Hampshire Ave NW,31102,11th & Kenyon St NW,W21823,Casual
1042,31289,Henry Bacon Dr & Lincoln Memorial Circle NW,31129,15th St & Pennsylvania Ave NW/Pershing Park,W01327,Member
861,31201,15th & P St NW,31267,17th St & Massachusetts Ave NW,W20258,Member
2224,31503,Florida Ave & R St NW,31245,7th & R St NW / Shaw Library,W00755,Member
4167,31235,19th St & Constitution Ave NW,31249,Jefferson Memorial,W22118,Casual
4190,31235,19th St & Constitution Ave NW,31249,Jefferson Memorial,W00185,Casual
618,31229,New Hampshire Ave & T St NW,31212,21st & M St NW,W20063,Member
1266,31109,7th & T St NW,31294,7th & E St SW,W21587,Casual
195,31104,Adams Mill & Columbia Rd NW,31121,Calvert St & Woodley Pl NW,W22968,Member
1659,31212,21st & M St NW,31030,Lee Hwy & N Adams St,W21030,Member
1213,31204,20th & E St NW,31643,1st & D St SE,W22530,Member
428,31229,New Hampshire Ave & T St NW,31212,21st & M St NW,W00800,Casual
325,31201,15th & P St NW,31281,8th & O St NW,W22280,Member
3875,31235,19th St & Constitution Ave NW,31249,Jefferson Memorial,W00345,Casual
403,31227,13th St & New York Ave NW,31250,20th & L St NW,W01187,Casual
588,31604,3rd & H St NW,31209,1st & N St  SE,W22870,Member
745,31128,23rd & M St NW,31265,5th St & Massachusetts Ave NW,W23295,Member
414,31104,Adams Mill & Columbia Rd NW,31107,Lamont & Mt Pleasant NW,W23353,Member
287,31127,22nd & H St NW,31285,22nd & P ST NW,W23034,Casual
239,31110,20th St & Florida Ave NW,31285,22nd & P ST NW,W23460,Member
190,31239,Rhode Island & Connecticut Ave NW,31203,14th & Rhode Island Ave NW,W20758,Member
791,31245,7th & R St NW / Shaw Library,31294,7th & E St SW,W23103,Member
491,31625,3rd & G St SE,31607,13th & E St SE,W21142,Member
657,31110,20th St & Florida Ave NW,31204,20th & E St NW,W01133,Casual
609,31110,20th St & Florida Ave NW,31204,20th & E St NW,W22898,Casual
2669,31271,Constitution Ave & 2nd St NW/DOL,31271,Constitution Ave & 2nd St NW/DOL,W22647,Casual
559,31101,14th & V St NW,31103,16th & Harvard St NW,W00295,Member
1337,31202,14th & R St NW,31617,Bladensburg Rd & Benning Rd NE,W00057,Member
225,31268,12th & U St NW,31245,7th & R St NW / Shaw Library,W21046,Member
572,31102,11th & Kenyon St NW,31268,12th & U St NW,W20285,Casual
701,31129,15th St & Pennsylvania Ave NW/Pershing Park,31277,17th & G St NW,W01327,Member
429,31265,5th St & Massachusetts Ave NW,31266,11th & M St NW,W00167,Member
643,31265,5th St & Massachusetts Ave NW,31627,3rd & M St NE,W22697,Member
581,31611,13th & H St NE,31616,3rd & H St NE,W22701,Member
173,31221,18th & M St NW,31128,23rd & M St NW,W21360,Member
2027,31111,10th & U St NW,31603,1st & M St NE,W23150,Member
357,31023,Fairfax Dr & Wilson Blvd,31049,Utah St & 11th St N ,W01387,Member
745,31053,Columbia Pike & S Courthouse Rd,31000,Eads St & 15th St S,W21522,Casual
